#OTU ID	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
731493	0	0	0	0	0	0	0	1	0	0	0	0
735769	0	0	0	0	1	0	0	0	0	0	0	0
736044	0	0	0	0	0	0	0	0	0	1	0	0
738351	0	0	0	0	0	0	0	0	1	0	0	0
740215	0	0	0	0	0	0	0	0	0	0	259	0
739826	0	2	0	0	0	0	0	2	2	4	0	0
740305	4	45	0	6	0	0	0	0	0	0	0	0
764682	0	1	133	2	0	272	0	0	0	0	0	0
754283	3	29	3	82	0	1	0	0	0	0	0	0
747563	0	0	0	0	0	0	60	85	4	0	7	29
743082	0	3	0	8	0	0	0	0	0	0	0	0
741599	0	0	0	0	0	0	0	1	0	0	0	0
746256	0	0	0	0	0	0	0	0	0	0	0	1
745650	18	46	1	53	187	8	0	31	3	7	2	5
74480	0	0	0	0	1	0	0	1	0	1	0	0
743923	0	0	0	0	0	0	0	0	0	0	0	2
746944	0	1	1	7	0	0	0	0	0	0	0	0
749151	0	0	0	1	0	0	3	8	5	2	4	6
752354	2	0	0	0	0	0	0	0	2	1	6	0
753891	0	0	0	1	0	0	0	0	0	0	0	0
752440	0	0	0	0	0	1	0	0	0	0	0	0
759061	0	0	1	0	0	0	0	0	0	0	0	0
755631	1	0	0	0	2	0	0	0	0	0	0	0
754778	0	0	1	2	0	0	0	0	0	0	0	0
757903	0	0	0	0	0	0	2	0	0	0	0	11
757005	27	3	3	8	0	17	0	0	0	0	0	0
758482	0	0	0	0	0	0	2	1	2	0	0	1
758280	0	0	0	2	0	0	1	0	0	0	0	0
758535	0	0	0	0	4	0	0	0	0	0	0	0
762699	0	0	9	1	0	0	0	1	0	1	0	0
761968	0	0	0	0	0	0	0	1	0	1	0	1
760913	0	0	3	0	0	3	0	0	0	0	0	0
760428	0	0	0	0	0	0	0	0	0	0	1	0
759816	0	0	0	0	0	0	6	1	0	1	0	0
763985	0	0	0	0	0	0	3	0	2	5	9	0
764292	0	1	0	3	0	0	0	0	0	0	0	0
769222	227	67	109	100	320	1	1	3	2	2	3	1
766351	0	0	0	0	0	0	50	63	17	2	0	5
766113	0	0	0	0	0	0	3	2	3	7	1	1
766314	0	0	0	0	1	0	0	0	0	0	0	0
769075	0	0	0	0	0	0	1	0	0	0	5	0
767863	0	0	0	0	0	29	0	0	0	0	0	0
77804	0	0	0	0	0	0	3	0	1	2	2	2
770499	0	3	0	0	0	0	0	0	0	0	0	0
772972	0	0	0	0	0	0	0	1	0	1	3	2
772398	0	0	0	1	3	0	0	0	0	0	1	0
772384	1	0	0	0	0	0	0	0	0	0	0	0
772282	0	0	0	0	0	0	0	0	1	0	0	2
771824	0	0	0	0	0	0	2	1	0	0	0	0
775976	0	1	0	0	0	0	5	18	6	3	9	51
774047	0	1	0	0	0	0	0	0	0	0	0	0
777944	0	0	1	0	0	0	0	0	0	0	0	1
777498	2	0	0	0	0	3	0	0	0	0	0	0
7821	0	0	228	0	0	9	0	0	0	0	0	0
78001	0	0	0	0	0	0	1	0	0	0	0	0
779944	0	0	0	6	9	0	0	0	0	0	0	0
778142	0	1	1	0	0	0	0	0	0	0	0	0
780650	0	1	0	1	0	0	0	0	0	0	0	0
782984	0	0	0	0	0	0	0	0	1	1	0	1
791522	0	0	2	0	0	0	0	0	0	0	275	336
786708	0	5	171	12	0	171	0	0	0	0	0	0
786081	0	0	0	0	0	0	5	1	12	9	9	4
788519	0	0	0	0	0	1	0	0	0	0	1	7
788334	0	1	0	0	0	0	0	0	0	0	0	0
789561	0	0	0	0	0	0	1	1	0	0	1	0
791348	14	0	1	0	0	1	0	0	0	0	0	0
796871	0	0	0	0	0	0	36	118	64	83	37	0
79436	0	0	0	0	0	50	0	0	0	0	0	0
792436	0	0	0	0	0	0	1	13	9	3	0	1
795046	0	0	0	0	0	0	0	2	0	0	0	0
798164	0	0	0	0	0	0	1	3	2	10	3	18
799034	0	0	0	0	0	0	0	0	15	16	0	0
798253	0	0	0	0	0	0	0	0	2	1	0	13
799443	0	0	0	0	0	0	0	0	0	1	0	0
805059	0	0	0	0	82	0	0	0	0	0	0	0
804526	1	0	0	0	0	0	0	0	7	14	0	0
803010	0	0	0	0	0	0	0	0	0	0	6	0
808244	0	8	2	0	0	0	0	1	0	0	0	0
806675	0	5	0	1	0	0	0	0	0	1	0	0
805699	0	0	0	0	0	0	16	13	0	0	1	32
805066	0	0	0	0	0	0	2	3	0	0	1	0
805672	0	0	0	0	0	0	0	2	1	1	1	0
805498	0	0	2	0	0	0	0	0	0	0	0	0
805099	0	0	0	0	0	0	0	0	0	0	0	1
806987	0	58	0	1	0	0	0	0	0	0	0	0
806775	1	0	0	0	0	0	0	0	0	0	0	0
807096	0	16	0	0	0	0	0	0	0	0	0	0
807046	0	0	0	1	0	0	0	0	0	0	0	0
